PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
n-ln,0,0,0,0,0,0,0,0,0,0,0
n-mn,0,0,0,0,0,0,0,0,0,0,0
n-n,73,145,193,157,289,0.9354179214558652,0.8390804597701149,0.8529411764705882,0.9948453608247423,0.9936708860759493,0.996551724137931
n-nn,0,24,1,0,0,0.029266221952698606,0,0.1411764705882353,0.005154639175257732,0,0
n-pn,0,0,0,0,0,0,0,0,0,0,0
nj-gn,0,1,0,0,0,0.2,0,1,0,0,0
nj-n,0,0,0,0,0,0,0,0,0,0,0
oʊ-aoh,0,0,0,0,0,0,0,0,0,0,0
oʊ-au,0,0,0,0,0,0,0,0,0,0,0
oʊ-au_e,0,0,0,0,0,0,0,0,0,0,0
oʊ-aux,0,0,0,0,0,0,0,0,0,0,0
oʊ-eau,0,0,0,0,0,0,0,0,0,0,0
oʊ-eaux,0,0,0,0,0,0,0,0,0,0,0
oʊ-eou,0,0,0,0,0,0,0,0,0,0,0
oʊ-ew,0,0,1,1,0,0.004579222993545244,0,0,0.008403361344537815,0.014492753623188406,0
oʊ-o,9,1,26,49,23,0.6021541046552967,0.6923076923076923,1,0.2184873949579832,0.7101449275362319,0.3898305084745763
oʊ-o_e,0,0,59,0,0,0.09915966386554623,0,0,0.4957983193277311,0,0
oʊ-oa,3,0,24,3,1,0.09857546329001529,0.23076923076923078,0,0.20168067226890757,0.043478260869565216,0.01694915254237288
oʊ-oa_e,0,0,0,0,0,0,0,0,0,0,0
oʊ-oe,0,0,1,1,2,0.011358884010494397,0,0,0.008403361344537815,0.014492753623188406,0.03389830508474576
oʊ-oh,0,0,0,0,0,0,0,0,0,0,0
oʊ-oo,0,0,0,0,0,0,0,0,0,0,0
oʊ-os,0,0,0,0,0,0,0,0,0,0,0
oʊ-ot,0,0,0,0,0,0,0,0,0,0,0
oʊ-ou,0,0,1,0,0,0.001680672268907563,0,0,0.008403361344537815,0,0
oʊ-ou_e,0,0,0,0,0,0,0,0,0,0,0
oʊ-ough,0,0,0,1,2,0.009678211741586834,0,0,0,0.014492753623188406,0.03389830508474576
oʊ-ow,1,0,7,14,31,0.17281377717460775,0.07692307692307693,0,0.058823529411764705,0.2028985507246377,0.5254237288135594
oʊ-owe,0,0,0,0,0,0,0,0,0,0,0
